TEAM,Prediction
Duke,3.689093
Creighton,3.3115792
Alabama,3.0015693
Florida,2.2993982
Houston,1.993119
Tennessee,1.6334075
Michigan St,1.5571214
St John's,1.5024768
Illinois,1.4070354
VCU,1.3355876
Maryland,1.3238863
Auburn,1.2280844
Wisconsin,1.1641151
Kentucky,1.1043282
Drake,1.0241457
UCSD,0.96250606
Iowa St,0.90386766
Texas Tech,0.74899155
Clemson,0.6214393
UCLA,0.6201654
Lipscomb,0.59654826
Texas A&M,0.570938
Utah St,0.55798274
UConn,0.50234455
Marquette,0.48296854
Purdue,0.44803256
Wofford,0.44301417
Liberty,0.416855
Omaha,0.4142373
Yale,0.39977628
Akron,0.37096047
McNeese,0.3382362
Louisville,0.29888493
St Francis PA,0.26375008
Arizona,0.26085156
Troy,0.24995336
Oregon,0.22667386
Bryant,0.22050038
Missouri,0.20611621
Colorado St,0.20514415
Oklahoma,0.18307927
Grand Canyon,0.17478281
Montana,0.15651423
Georgia,0.15245469
North Carolina,0.15024714
NC Wilmington,0.11991246
High Point,0.10784601
Alabama St,0.10016261
Norfolk St,0.09793143
American,0.09104223
Kansas,0.09029208
Mississippi St,0.08914409
Vanderbilt,0.07028251
Arkansas,0.06533846
Saint Mary's,0.055891335
SIU Edward,0.042743836
Baylor,0.022811115
Texas,0.011292837
Mississippi,0.008143423
Michigan,0.0027486635
Memphis,-0.008988362
Robert Morris,-0.010740402
New Mexico,-0.057482228
Mt St Mary's,-0.1039499
Gonzaga,-0.15061769
San Diego St,-0.16295223
BYU,-0.17543861
Xavier,-0.2501221
