Rank,Team,2024,Last 3,Last 1,Home,Away,2023
100,CS Northridge,0.358,0.404,0.364,0.305,0.39,0.376
101,Howard,0.357,0.342,0.5,0.4,0.334,0.421
102,Morgan St,0.357,0.33,0.263,0.44,0.307,0.313
103,McNeese,0.357,0.417,0.563,0.379,0.338,0.401
104,Maryland ES,0.356,0.352,0.305,0.355,0.357,0.327
105,Mississippi,0.356,0.339,0.321,0.36,0.353,0.351
106,William & Mary,0.356,0.398,0.348,0.318,0.382,0.319
107,Arkansas,0.355,0.446,0.571,0.385,0.324,0.453
108,Long Beach St,0.355,0.312,0.281,0.33,0.373,0.378
109,Toledo,0.355,0.468,0.542,0.369,0.346,0.353
110,Furman,0.354,0.432,0.357,0.388,0.33,0.310
111,Tennessee,0.354,0.627,0.653,0.33,0.381,0.337
112,Air Force,0.354,0.275,0.158,0.388,0.321,0.296
113,E Carolina,0.352,0.289,0.167,0.367,0.337,0.340
114,N Iowa,0.352,0.23,0.438,0.376,0.326,0.374
115,App State,0.352,0.333,0.327,0.38,0.33,0.316
116,Tulane,0.351,0.333,0.35,0.334,0.368,0.455
117,Illinois Chicago,0.351,0.243,0.316,0.365,0.341,0.260
118,Grambling,0.351,0.322,0.327,0.348,0.352,0.388
119,North Carolina,0.35,0.446,0.421,0.341,0.357,0.362
120,Louisiana Tech,0.35,0.412,0.382,0.391,0.322,0.420
121,San Francisco,0.35,0.24,0.226,0.38,0.324,0.234
122,Oral Roberts,0.35,0.275,0.34,0.417,0.31,0.260
123,Michigan,0.35,0.262,0.22,0.373,0.329,0.320
124,Wichita St,0.349,0.387,0.282,0.349,0.35,0.264
125,S Florida,0.349,0.342,0.318,0.357,0.342,0.378
126,Marshall,0.348,0.29,0.444,0.365,0.333,0.288
127,Weber St,0.347,0.379,0.551,0.32,0.365,0.351
128,SE Louisiana,0.347,0.324,0.242,0.407,0.317,0.350
129,Saint Peter's,0.347,0.381,0.5,0.302,0.381,0.380
130,Purdue,0.346,0.317,0.338,0.349,0.344,0.413
131,Charleston,0.346,0.358,0.364,0.387,0.315,0.272
132,Illinois,0.346,0.395,0.286,0.385,0.306,0.371
133,CS Bakersfield,0.345,0.228,0.197,0.365,0.331,0.320
134,Washington,0.345,0.324,0.393,0.346,0.344,0.321
135,Louisville,0.345,0.316,0.156,0.426,0.268,0.388
136,Bowling Green,0.345,0.365,0.283,0.366,0.326,0.350
137,New Mexico St,0.345,0.424,0.422,0.348,0.342,0.327
138,Coastal Car,0.344,0.349,0.519,0.327,0.356,0.325
139,NC Asheville,0.344,0.295,0.558,0.389,0.32,0.408
140,UT Martin,0.344,0.257,0.309,0.391,0.321,0.328
141,Idaho St,0.344,0.321,0.212,0.369,0.328,0.335
142,Portland St,0.343,0.364,0.139,0.374,0.325,0.343
143,Missouri St,0.343,0.287,0.207,0.424,0.284,0.315
144,S Illinois,0.342,0.331,0.356,0.364,0.325,0.359
145,Pittsburgh,0.342,0.331,0.155,0.384,0.295,0.305
146,Tulsa,0.342,0.405,0.591,0.355,0.33,0.406
147,IU Indy,0.341,0.235,0.241,0.37,0.322,0.332
148,St Thomas,0.34,0.408,0.387,0.374,0.321,0.294
149,UMass,0.34,0.288,0.358,0.313,0.365,0.358
150,Vanderbilt,0.34,0.446,0.517,0.339,0.341,0.352
151,New Orleans,0.339,0.289,0.455,0.369,0.322,0.392
152,Navy,0.338,0.509,0.175,0.365,0.321,0.348
153,Georgia St,0.338,0.433,0.482,0.342,0.335,0.286
154,Southern Miss,0.338,0.273,0.19,0.351,0.328,0.379
155,Prairie View,0.338,0.286,0.426,0.269,0.366,0.369
156,UCSD,0.338,0.365,0.236,0.304,0.362,0.324
157,Wisconsin,0.338,0.328,0.265,0.337,0.338,0.338
158,Queens,0.337,0.283,0.167,0.416,0.288,0.336
159,Utah Tech,0.337,0.366,0.295,0.353,0.327,0.402
160,Binghamton,0.337,0.36,0.228,0.367,0.321,0.343
161,Arkansas St,0.336,0.314,0.176,0.297,0.369,0.329
162,Idaho,0.336,0.367,0.364,0.341,0.333,0.267
163,S Alabama,0.336,0.462,0.441,0.337,0.335,0.316
164,Valparaiso,0.336,0.148,0.213,0.425,0.261,0.233
165,North Dakota,0.336,0.328,0.175,0.338,0.334,0.322
166,Ohio,0.335,0.372,0.304,0.354,0.321,0.321
167,TCU,0.335,0.343,0.303,0.339,0.331,0.350
168,Auburn,0.335,0.302,0.4,0.364,0.311,0.383
169,N Colorado,0.334,0.335,0.392,0.409,0.29,0.278
170,Oregon,0.334,0.366,0.264,0.325,0.342,0.320
171,E Tennessee St,0.332,0.302,0.449,0.362,0.307,0.339
172,Florida Atlantic,0.332,0.391,0.348,0.296,0.354,0.349
173,Syracuse,0.331,0.348,0.302,0.342,0.318,0.341
174,Nicholls,0.331,0.366,0.246,0.385,0.297,0.376
175,Stetson,0.331,0.28,0.136,0.38,0.3,0.318
176,Indiana,0.331,0.255,0.145,0.363,0.29,0.377
177,SIU Edward,0.331,0.421,0.519,0.361,0.311,0.318
178,E Michigan,0.33,0.279,0.164,0.329,0.331,0.250
179,E Illinois,0.33,0.465,0.397,0.392,0.291,0.272
180,Maryland,0.329,0.408,0.377,0.357,0.292,0.408
181,UCLA,0.329,0.274,0.382,0.348,0.307,0.358
182,Seton Hall,0.329,0.205,0.17,0.362,0.296,0.309
183,Fordham,0.329,0.414,0.379,0.327,0.33,0.352
184,AR-Pine Bluff,0.328,0.373,0.143,0.365,0.309,0.396
185,Pacific,0.328,0.427,0.6,0.347,0.313,0.371
186,The Citadel,0.328,0.363,0.475,0.302,0.355,0.337
187,Buffalo,0.327,0.227,0.311,0.357,0.303,0.260
188,N Dakota St,0.326,0.343,0.39,0.377,0.29,0.303
189,Florida,0.326,0.42,0.459,0.314,0.336,0.384
190,Bradley,0.324,0.482,0.317,0.313,0.334,0.275
191,Washington St,0.324,0.308,0.345,0.389,0.276,0.316
192,Middle Tenn,0.324,0.372,0.346,0.342,0.31,0.349
193,LSU,0.324,0.341,0.464,0.345,0.297,0.383
194,Saint Joseph's,0.323,0.363,0.242,0.322,0.325,0.287
195,San Diego St,0.323,0.35,0.397,0.317,0.328,0.367
196,SF Austin,0.323,0.199,0.176,0.319,0.325,0.422
197,NC State,0.323,0.396,0.404,0.346,0.289,0.320
198,Portland,0.322,0.201,0.167,0.35,0.298,0.317
199,VCU,0.322,0.349,0.574,0.302,0.341,0.350
200,NW State,0.322,0.283,0.196,0.311,0.329,0.367
201,F Dickinson,0.321,0.304,0.273,0.356,0.302,0.349
202,W Kentucky,0.321,0.28,0.313,0.315,0.329,0.321
203,Duke,0.321,0.389,0.48,0.338,0.304,0.343
204,Yale,0.32,0.372,0.339,0.302,0.331,0.278
205,Montana St,0.319,0.274,0.327,0.371,0.284,0.306
206,Notre Dame,0.318,0.301,0.274,0.37,0.269,0.279
207,Colorado St,0.318,0.528,0.373,0.31,0.325,0.318
208,Loyola Chi,0.317,0.249,0.235,0.333,0.302,0.334
209,Chattanooga,0.317,0.284,0.368,0.337,0.302,0.309
210,Oakland,0.317,0.305,0.5,0.382,0.279,0.308
211,Denver,0.316,0.323,0.522,0.352,0.296,0.350
212,Mississippi St,0.316,0.282,0.409,0.324,0.31,0.374
213,UAB,0.316,0.333,0.333,0.3,0.335,0.406
214,Stony Brook,0.316,0.292,0.415,0.302,0.326,0.292
215,Pepperdine,0.316,0.293,0.268,0.322,0.311,0.326
216,UMass Lowell,0.316,0.154,0.212,0.326,0.306,0.401
217,UMBC,0.316,0.266,0.212,0.36,0.276,0.241
218,N Illinois,0.316,0.301,0.379,0.342,0.297,0.362
219,Jacksonville St,0.316,0.315,0.133,0.291,0.329,0.371
220,Boston College,0.315,0.369,0.491,0.331,0.296,0.250
221,Lehigh,0.315,0.474,0.396,0.357,0.289,0.330
222,San Jose St,0.315,0.293,0.143,0.305,0.323,0.224
223,Minnesota,0.315,0.328,0.396,0.329,0.293,0.347
224,Stonehill,0.314,0.396,0.172,0.309,0.318,0.226
225,Saint Mary's,0.314,0.371,0.288,0.361,0.268,0.280
226,La Salle,0.314,0.429,0.177,0.361,0.278,0.248
227,Lipscomb,0.314,0.452,0.638,0.338,0.289,0.275
228,Northwestern,0.313,0.388,0.407,0.317,0.309,0.292
229,Sacramento St,0.313,0.253,0.373,0.341,0.291,0.329
230,N Kentucky,0.313,0.332,0.188,0.325,0.3,0.351
231,Presbyterian,0.312,0.24,0.179,0.325,0.306,0.368
232,NC A&T,0.312,0.285,0.451,0.357,0.281,0.340
233,S Dakota St,0.312,0.449,0.493,0.335,0.297,0.301
234,UL Monroe,0.311,0.311,0.423,0.336,0.29,0.384
235,Quinnipiac,0.311,0.352,0.288,0.307,0.314,0.304
236,Evansville,0.311,0.357,0.449,0.318,0.305,0.283
237,E Washington,0.311,0.223,0.189,0.358,0.28,0.396
238,Wofford,0.311,0.535,0.688,0.318,0.307,0.278
239,Mt St Mary's,0.31,0.351,0.212,0.307,0.313,0.267
240,Cleveland St,0.31,0.346,0.261,0.375,0.247,0.310
241,Baylor,0.31,0.25,0.317,0.344,0.28,0.402
242,W Michigan,0.31,0.274,0.194,0.327,0.296,0.314
243,Liberty,0.309,0.225,0.18,0.32,0.302,0.267
244,Old Dominion,0.309,0.261,0.277,0.31,0.309,0.271
245,Manhattan,0.309,0.28,0.297,0.294,0.322,0.221
246,Mercyhurst,0.309,0.366,0.264,0.329,0.298,--
247,Kansas City,0.309,0.249,0.279,0.373,0.271,0.293
248,Gonzaga,0.309,0.314,0.111,0.308,0.309,0.307
249,N Alabama,0.308,0.438,0.358,0.319,0.299,0.329
250,Virginia Tech,0.308,0.309,0.534,0.314,0.301,0.330
251,Boston U,0.307,0.407,0.352,0.325,0.289,0.302
252,S Indiana,0.307,0.258,0.156,0.326,0.29,0.376
253,Illinois St,0.307,0.219,0.149,0.352,0.266,0.361
254,Georgia Tech,0.307,0.23,0.145,0.316,0.293,0.292
255,UConn,0.306,0.231,0.066,0.342,0.271,0.319
256,St Bonaventure,0.306,0.249,0.213,0.347,0.273,0.322
257,Lafayette,0.305,0.272,0.094,0.34,0.275,0.239
258,Hou Christian,0.305,0.264,0.25,0.351,0.271,0.370
259,San Diego,0.305,0.317,0.328,0.292,0.319,0.320
260,Bryant,0.304,0.27,0.194,0.275,0.325,0.299
261,J Madison,0.304,0.348,0.306,0.335,0.282,0.349
262,Wyoming,0.304,0.233,0.254,0.309,0.299,0.380
263,Alcorn St,0.304,0.237,0.177,0.417,0.261,0.373
264,SC Upstate,0.304,0.33,0.306,0.334,0.285,0.295
265,Niagara,0.304,0.387,0.269,0.327,0.288,0.360
266,Dartmouth,0.303,0.343,0.258,0.325,0.287,0.278
267,Miss Valley St,0.303,0.248,0.125,0.286,0.311,0.330
268,Hampton,0.303,0.293,0.254,0.291,0.31,0.294
269,St John's,0.302,0.196,0.169,0.345,0.248,0.273
270,BYU,0.302,0.318,0.167,0.313,0.289,0.254
