Rank,Team,2024,Last 3,Last 1,Home,Away,2023
100,La Salle,0.3,0.411,0.406,0.262,0.328,0.333
101,Bryant,0.3,0.317,0.351,0.273,0.317,0.338
102,North Carolina,0.3,0.33,0.4,0.227,0.356,0.282
103,NC A&T,0.3,0.185,0.27,0.309,0.294,0.295
104,Robert Morris,0.3,0.272,0.27,0.295,0.305,0.368
105,Purdue FW,0.3,0.352,0.534,0.312,0.293,0.328
106,Notre Dame,0.3,0.299,0.207,0.301,0.3,0.274
107,Villanova,0.301,0.218,0.333,0.245,0.363,0.260
108,Loyola MD,0.302,0.422,0.418,0.329,0.282,0.326
109,Marquette,0.302,0.328,0.373,0.277,0.329,0.269
110,NC Wilmington,0.303,0.298,0.288,0.316,0.289,0.331
111,Northeastern,0.303,0.312,0.382,0.285,0.316,0.283
112,F Dickinson,0.304,0.234,0.232,0.283,0.315,0.320
113,St John's,0.304,0.287,0.267,0.294,0.317,0.344
114,South Carolina,0.304,0.345,0.286,0.319,0.285,0.316
115,Georgia,0.304,0.414,0.463,0.264,0.358,0.293
116,Rutgers,0.305,0.332,0.517,0.227,0.382,0.343
117,VMI,0.305,0.434,0.339,0.329,0.293,0.309
118,W Illinois,0.306,0.2,0.179,0.257,0.343,0.251
119,Jackson St,0.306,0.22,0.169,0.3,0.308,0.344
120,Ball St,0.307,0.182,0.129,0.321,0.295,0.276
121,Dayton,0.307,0.333,0.444,0.24,0.39,0.219
122,Towson,0.307,0.313,0.551,0.222,0.36,0.317
123,Rhode Island,0.308,0.486,0.467,0.3,0.316,0.300
124,UCF,0.308,0.267,0.303,0.262,0.359,0.395
125,Fairfield,0.31,0.28,0.109,0.264,0.342,0.258
126,Purdue,0.31,0.345,0.379,0.286,0.333,0.220
127,Middle Tenn,0.31,0.356,0.377,0.308,0.312,0.296
128,Kentucky,0.31,0.302,0.296,0.295,0.327,0.334
129,N Florida,0.311,0.199,0.127,0.315,0.308,0.337
130,Boise St,0.312,0.323,0.373,0.334,0.296,0.331
131,Buffalo,0.312,0.24,0.271,0.264,0.352,0.287
132,Arizona St,0.312,0.401,0.222,0.294,0.327,0.312
133,Grambling,0.313,0.228,0.219,0.287,0.324,0.338
134,C Michigan,0.313,0.308,0.379,0.323,0.306,0.306
135,Cornell,0.313,0.313,0.339,0.359,0.279,0.325
136,Siena,0.314,0.25,0.215,0.313,0.314,0.280
137,Illinois St,0.314,0.273,0.302,0.285,0.34,0.272
138,Canisius,0.314,0.254,0.5,0.314,0.314,0.280
139,McNeese,0.314,0.212,0.262,0.316,0.313,0.337
140,Alcorn St,0.315,0.264,0.281,0.285,0.326,0.366
141,Wake Forest,0.315,0.297,0.482,0.269,0.361,0.301
142,George Mason,0.315,0.387,0.574,0.311,0.319,0.317
143,E Carolina,0.316,0.29,0.328,0.304,0.329,0.327
144,Illinois Chicago,0.316,0.136,0.094,0.316,0.317,0.359
145,Princeton,0.317,0.239,0.367,0.341,0.302,0.251
146,Utah Valley,0.318,0.4,0.611,0.318,0.317,0.360
147,E Kentucky,0.318,0.345,0.491,0.266,0.35,0.295
148,Virginia Tech,0.318,0.349,0.58,0.304,0.334,0.302
149,Montana,0.319,0.345,0.392,0.256,0.365,0.344
150,Montana St,0.319,0.244,0.333,0.268,0.355,0.369
151,Binghamton,0.319,0.146,0.13,0.324,0.317,0.348
152,Santa Clara,0.319,0.299,0.18,0.293,0.344,0.333
153,Louisiana Tech,0.32,0.472,0.446,0.34,0.306,0.320
154,UCSB,0.32,0.343,0.5,0.313,0.327,0.310
155,Boston U,0.32,0.521,0.556,0.286,0.354,0.362
156,UNLV,0.32,0.314,0.315,0.31,0.335,0.296
157,Queens,0.321,0.339,0.617,0.348,0.303,0.294
158,Grand Canyon,0.322,0.404,0.483,0.293,0.349,0.341
159,NC State,0.322,0.28,0.23,0.324,0.32,0.316
160,West Virginia,0.322,0.449,0.449,0.246,0.413,0.281
161,Oregon St,0.323,0.384,0.46,0.277,0.378,0.359
162,Cal Poly,0.323,0.33,0.361,0.293,0.343,0.419
163,Bethune,0.324,0.287,0.479,0.329,0.321,0.492
164,Milwaukee,0.324,0.264,0.167,0.313,0.333,0.328
165,SMU,0.325,0.403,0.489,0.302,0.352,0.341
166,Washington St,0.326,0.418,0.282,0.298,0.346,0.323
167,Idaho St,0.327,0.25,0.115,0.306,0.341,0.326
168,Stonehill,0.327,0.293,0.245,0.307,0.341,0.294
169,California,0.328,0.393,0.236,0.302,0.355,0.331
170,Mercer,0.328,0.265,0.281,0.277,0.355,0.388
171,The Citadel,0.328,0.298,0.286,0.322,0.334,0.225
172,Tulane,0.328,0.385,0.585,0.285,0.369,0.327
173,Providence,0.328,0.244,0.161,0.301,0.356,0.277
174,Pittsburgh,0.328,0.356,0.189,0.3,0.362,0.305
175,Delaware,0.329,0.406,0.518,0.342,0.321,0.271
176,S Utah,0.33,0.299,0.31,0.346,0.318,0.322
177,New Hampshire,0.33,0.251,0.229,0.298,0.348,0.275
178,North Dakota,0.33,0.42,0.194,0.327,0.332,0.296
179,Florida,0.33,0.451,0.653,0.319,0.34,0.345
180,Syracuse,0.33,0.444,0.468,0.28,0.389,0.266
181,Minnesota,0.331,0.39,0.393,0.312,0.357,0.296
182,Michigan St,0.331,0.447,0.519,0.326,0.334,0.324
183,NW State,0.331,0.483,0.42,0.298,0.354,0.416
184,W Michigan,0.332,0.326,0.197,0.325,0.338,0.315
185,Marist,0.332,0.272,0.426,0.295,0.37,0.350
186,Sam Houston,0.332,0.31,0.283,0.292,0.353,0.370
187,SIU Edward,0.332,0.32,0.217,0.292,0.359,0.372
188,Loyola Chi,0.332,0.337,0.412,0.344,0.321,0.365
189,Charleston So,0.333,0.333,0.197,0.34,0.329,0.335
190,Florida Atlantic,0.333,0.44,0.593,0.307,0.347,0.273
191,Miami OH,0.333,0.253,0.271,0.34,0.328,0.318
192,Utah,0.334,0.398,0.491,0.284,0.405,0.259
193,J Madison,0.334,0.44,0.434,0.311,0.352,0.351
194,Cal Baptist,0.334,0.311,0.426,0.272,0.4,0.303
195,UC Riverside,0.334,0.38,0.393,0.339,0.331,0.348
196,Baylor,0.335,0.275,0.25,0.31,0.356,0.312
197,Texas Tech,0.335,0.366,0.344,0.295,0.384,0.272
198,Tulsa,0.336,0.416,0.453,0.307,0.362,0.351
199,Memphis,0.336,0.408,0.333,0.312,0.354,0.296
200,Colorado St,0.336,0.365,0.286,0.288,0.38,0.317
201,S Illinois,0.337,0.381,0.386,0.327,0.345,0.365
202,Akron,0.337,0.307,0.088,0.364,0.317,0.294
